监测站,AQI,空气质量等级,PM2.5,PM10,首要污染物
北京农展馆,38,优,15 μg/m3,37 μg/m3,
北京昌平镇,27,优,19 μg/m3,-,
北京海淀区万柳,26,优,18 μg/m3,20 μg/m3,
北京万寿西宫,26,优,18 μg/m3,-,
北京定陵,24,优,15 μg/m3,24 μg/m3,
北京官园,24,优,17 μg/m3,-,
北京东四,23,优,16 μg/m3,-,
北京奥体中心,21,优,15 μg/m3,-,
北京顺义新城,21,优,15 μg/m3,-,
北京天坛,20,优,14 μg/m3,18 μg/m3,
北京古城,19,优,11 μg/m3,19 μg/m3,
北京怀柔镇,16,优,11 μg/m3,14 μg/m3,
上海浦东川沙,31,优,16 μg/m3,30 μg/m3,
上海青浦淀山湖,31,优,22 μg/m3,27 μg/m3,
上海静安监测站,28,优,16 μg/m3,27 μg/m3,
上海十五厂,28,优,20 μg/m3,26 μg/m3,
上海杨浦四漂,27,优,13 μg/m3,26 μg/m3,
上海普陀,24,优,17 μg/m3,-,
上海徐汇上师大,23,优,15 μg/m3,23 μg/m3,
上海虹口,20,优,5 μg/m3,20 μg/m3,
上海浦东新区监测站,20,优,10 μg/m3,20 μg/m3,
上海浦东张江,-,-,-,-,-
天津永明路,41,优,29 μg/m3,34 μg/m3,
天津中山北路,40,优,9 μg/m3,39 μg/m3,
天津第四大街,39,优,20 μg/m3,38 μg/m3,
天津大直沽八号路,34,优,8 μg/m3,33 μg/m3,
天津团泊洼(对照点),34,优,22 μg/m3,33 μg/m3,
天津河西一经路,30,优,10 μg/m3,29 μg/m3,
天津前进道,29,优,16 μg/m3,28 μg/m3,
天津西四道,28,优,20 μg/m3,-,
天津勤俭道,26,优,16 μg/m3,25 μg/m3,
天津汉北路,21,优,15 μg/m3,-,
天津津沽路,20,优,14 μg/m3,17 μg/m3,
天津宾水西道,19,优,13 μg/m3,19 μg/m3,
天津大理道,-,-,-,-,-
天津淮河道,-,-,-,-,-
天津跃进路,-,-,-,-,-
重庆礼嘉,71,良,38 μg/m3,90 μg/m3,PM10
重庆缙云山（对照点）,55,良,38 μg/m3,44 μg/m3,PM2.5
重庆天生,55,良,31 μg/m3,58 μg/m3,PM10
重庆上清寺,53,良,22 μg/m3,54 μg/m3,PM10
重庆唐家沱,53,良,26 μg/m3,55 μg/m3,PM10
重庆空港,52,良,36 μg/m3,53 μg/m3,PM10
重庆龙井湾,50,优,30 μg/m3,49 μg/m3,
重庆两路,49,优,30 μg/m3,48 μg/m3,
重庆蔡家,46,优,24 μg/m3,45 μg/m3,
重庆南坪,44,优,16 μg/m3,43 μg/m3,
重庆歇台子,40,优,22 μg/m3,39 μg/m3,
重庆新山村,40,优,19 μg/m3,39 μg/m3,
重庆虎溪,39,优,17 μg/m3,38 μg/m3,
重庆龙洲湾,30,优,12 μg/m3,29 μg/m3,
重庆白市驿,29,优,17 μg/m3,28 μg/m3,
重庆茶园,24,优,14 μg/m3,24 μg/m3,
重庆鱼新街,21,优,11 μg/m3,21 μg/m3,
广州广雅中学,69,良,41 μg/m3,86 μg/m3,PM10
广州市五中,62,良,44 μg/m3,61 μg/m3,PM2.5
广州市监测站,61,良,43 μg/m3,70 μg/m3,PM10
广州麓湖,56,良,38 μg/m3,61 μg/m3,PM10
广州九龙镇镇龙,55,良,33 μg/m3,59 μg/m3,PM10
广州番禺中学,53,良,32 μg/m3,55 μg/m3,PM10
广州花都师范,53,良,37 μg/m3,54 μg/m3,PM10
广州体育西,53,良,33 μg/m3,54 μg/m3,PM10
广州市八十六中,47,优,29 μg/m3,46 μg/m3,
广州帽峰山森林公园,43,优,29 μg/m3,42 μg/m3,
广州广东商学院,-,-,-,-,-
南京瑞金路,54,良,30 μg/m3,56 μg/m3,PM10
南京山西路,50,优,35 μg/m3,-,
南京中华门,48,优,17 μg/m3,47 μg/m3,
南京浦口,34,优,24 μg/m3,28 μg/m3,
南京奥体中心,23,优,10 μg/m3,23 μg/m3,
南京迈皋桥,23,优,16 μg/m3,19 μg/m3,
南京仙林大学城,22,优,14 μg/m3,22 μg/m3,
南京草场门,14,优,10 μg/m3,10 μg/m3,
南京玄武湖,13,优,9 μg/m3,10 μg/m3,
杭州城厢镇,53,良,25 μg/m3,54 μg/m3,PM10
杭州朝晖五区,43,优,23 μg/m3,42 μg/m3,
杭州滨江,41,优,18 μg/m3,40 μg/m3,
杭州临平镇,40,优,16 μg/m3,39 μg/m3,
杭州浙江农大,40,优,18 μg/m3,39 μg/m3,
杭州和睦小学,37,优,18 μg/m3,36 μg/m3,
杭州下沙,37,优,20 μg/m3,36 μg/m3,
杭州卧龙桥,34,优,18 μg/m3,33 μg/m3,
杭州西溪,32,优,11 μg/m3,31 μg/m3,
杭州云栖,30,优,16 μg/m3,29 μg/m3,
杭州千岛湖,23,优,16 μg/m3,23 μg/m3,
鞍山铁西工业园区,55,良,38 μg/m3,51 μg/m3,PM2.5
鞍山明达新区,53,良,32 μg/m3,55 μg/m3,PM10
鞍山深沟寺,53,良,37 μg/m3,48 μg/m3,PM2.5
鞍山铁西三道街,52,良,34 μg/m3,52 μg/m3,PM10
鞍山太阳城,51,良,31 μg/m3,50 μg/m3,PM10
鞍山千山,28,优,15 μg/m3,27 μg/m3,
鞍山太平,-,-,-,-,-
安庆大学(191227更为评价点),69,良,50 μg/m3,58 μg/m3,PM2.5
安庆环科院,68,良,44 μg/m3,85 μg/m3,PM10
安庆马山宾馆,68,良,48 μg/m3,84 μg/m3,PM10
安庆市人大,64,良,46 μg/m3,71 μg/m3,PM2.5
安顺娄家坡,38,优,26 μg/m3,37 μg/m3,
