城市,网址
北京,/air/beijing/
上海,/air/shanghai/
天津,/air/tianjin/
重庆,/air/chongqing/
广州,/air/guangzhou/
南京,/air/nanjing/
杭州,/air/hangzhou/
鞍山,/air/anshan/
安庆,/air/anqing/
安顺,/air/anshun/
安阳,/air/anyang/
安康,/air/ankang/
阿坝州,/air/abazhou/
阿克苏地区,/air/akesudiqu/
阿拉善盟,/air/alashanmeng/
阿勒泰地区,/air/aletaidiqu/
阿里地区,/air/alidiqu/
宝鸡,/air/baoji/
包头,/air/baotou/
保定,/air/baoding/
白城,/air/baicheng/
蚌埠,/air/bangbu/
本溪,/air/benxi/
白山,/air/baishan/
白银,/air/baiyin/
亳州,/air/bozhou/
保山,/air/baoshan/
巴中,/air/bazhong/
北海,/air/beihai/
毕节,/air/bijie/
滨州,/air/binzhou/
百色,/air/baise/
博州,/air/boertala/
巴彦淖尔,/air/bayannaoer/
成都,/air/chengdu/
长春,/air/changchun/
承德,/air/chengde/
沧州,/air/cangzhou/
赤峰,/air/chifeng/
常州,/air/changzhou/
常德,/air/changde/
长沙,/air/changsha/
常熟,/air/changshu/
长治,/air/changzhi/
朝阳,/air/chaoyang/
潮州,/air/chaozhou/
郴州,/air/chenzhou/
池州,/air/chizhou/
崇左,/air/chongzuo/
滁州,/air/chuzhou/
昌吉州,/air/changjizhou/
楚雄州,/air/chuxiongzhou/
昌都,/air/changdu/
大连,/air/dalian/
大同,/air/datong/
东莞,/air/dongguan/
丹东,/air/dandong/
德州,/air/dezhou/
东营,/air/dongying/
大庆,/air/daqing/
大理州,/air/dalizhou/
大兴安岭地区,/air/daxinganlingdiqu/
达州,/air/dazhou/
德宏州,/air/dehongzhou/
德阳,/air/deyang/
定西,/air/dingxi/
迪庆州,/air/diqingzhou/
鄂尔多斯,/air/eerduosi/
鄂州,/air/ezhou/
恩施州,/air/enshizhou/
福州,/air/fuzhou/
抚顺,/air/fushun/
阜阳,/air/fuyang/
富阳,/air/fuyangshi/
佛山,/air/foshan/
阜新,/air/fuxin/
抚州,/air/fuzhoushi/
防城港,/air/fangchenggang/
广安,/air/guangan/
广元,/air/guangyuan/
桂林,/air/guilin/
贵阳,/air/guiyang/
赣州,/air/ganzhou/
贵港,/air/guigang/
固原,/air/guyuan/
甘孜州,/air/ganzizhou/
甘南州,/air/gannanzhou/
果洛州,/air/guoluozhou/
哈尔滨,/air/haerbin/
合肥,/air/hefei/
呼和浩特,/air/huhehaote/
海口,/air/haikou/
邯郸,/air/handan/
衡水,/air/hengshui/
海门,/air/haimen/
海北州,/air/haibeizhou/
海东地区,/air/haidongdiqu/
海南州,/air/hainanzhou/
海西州,/air/haixizhou/
哈密地区,/air/hamidiqu/
汉中,/air/hanzhong/
鹤壁,/air/hebi/
河池,/air/hechi/
鹤岗,/air/hegang/
黑河,/air/heihe/
湖州,/air/huzhou/
衡阳,/air/hengyang/
和田地区,/air/hetiandiqu/
河源,/air/heyuan/
菏泽,/air/heze/
贺州,/air/hezhou/
红河州,/air/honghezhou/
淮安,/air/huaian/
淮北,/air/huaibei/
怀化,/air/huaihua/
淮南,/air/huainan/
黄山,/air/huangshan/
黄冈,/air/huanggang/
黄南州,/air/huangnanzhou/
黄石,/air/huangshi/
惠州,/air/huizhou/
葫芦岛,/air/huludao/
呼伦贝尔,/air/hulunbeier/
吉林,/air/jilin/
济南,/air/jinan/
济宁,/air/jining/
锦州,/air/jinzhou/
佳木斯,/air/jiamusi/
吉安,/air/jian/
江门,/air/jiangmen/
江阴,/air/jiangyin/
胶南,/air/jiaonan/
胶州,/air/jiaozhou/
焦作,/air/jiaozuo/
嘉兴,/air/jiaxing/
嘉峪关,/air/jiayuguan/
揭阳,/air/jieyang/
即墨,/air/jimo/
金昌,/air/jinchang/
晋城,/air/jincheng/
景德镇,/air/jingdezhen/
荆门,/air/jingmen/
荆州,/air/jingzhou/
金华,/air/jinhua/
金坛,/air/jintan/
晋中,/air/jinzhong/
九江,/air/jiujiang/
酒泉,/air/jiuquan/
鸡西,/air/jixi/
句容,/air/jurong/
